153	165
228	237
312	321
513	534
540	552
555	567
771	792
816	852
861	876
882	894
912	921
924	939
948	957
960	969
972	987
1008	1023
1026	1038
1041	1080
1092	1107
1110	1122
1131	1140
1143	1152
1206	1218
1248	1257
1263	1275
1305	1314
1317	1326
1338	1347
1428	1437
1455	1467
1485	1494
1509	1524
1716	1731
1767	1785
1956	1965
1980	1992
2076	2085
2097	2106
2127	2136
2181	2190
2247	2265
2385	2406
2451	2460
2580	2589
2592	2601
2634	2646
2739	2751
2787	2796
2874	2883
3051	3060
3108	3117
3264	3276
3333	3342
3372	3381
3429	3441
3462	3474
3510	3522
3534	3543
3558	3567
3810	3819
3915	3930
3975	3987
4044	4053
4068	4077
4245	4254
4362	4374
5868	5883
5910	5922
6000	6009
6075	6084
6117	6126
6348	6366
6378	6399
6402	6414
6417	6438
6441	6462
6468	6477
6489	6501
6594	6612
6615	6642
6645	6672
6699	6708
6792	6807
6822	6834
6915	6927
6984	6996
7026	7038
7065	7074
7125	7137
7155	7164
7320	7329
7416	7425
7434	7443
7473	7488
7533	7542
7587	7608
7635	7650
7674	7686
7719	7728
7770	7791
7860	7869
7926	7947
7962	7971
7980	7989
8001	8022
8040	8049
8091	8106
8112	8121
8232	8241
8280	8295
8322	8331
8445	8460
8478	8499
8511	8520
8553	8562
8592	8604
8649	8658
8709	8718
8766	8778
8808	8820
8928	8940
8961	8970
8997	9009
9021	9039
9066	9090
9105	9114
9120	9129
9144	9159
9177	9186
9189	9201
9210	9219
9231	9249
9264	9273
9393	9402
9555	9567
9615	9624
9672	9681
9699	9717
9729	9744
9804	9813
9861	9870
9873	9885
9969	10011
10047	10098
10170	10182
10191	10200
10221	10233
10299	10308
10329	10341
10344	10353
10404	10416
10512	10524
10545	10560
10572	10584
10587	10596
10599	10626
10629	10641
10677	10686
10887	10896
10899	10908
10986	10998
11070	11085
11100	11109
11121	11130
11169	11184
11187	11196
11253	11265
11298	11310
11361	11370
11445	11454
11538	11547
11781	11793
11814	11823
11868	11883
11910	11919
11922	11967
12006	12018
12090	12099
12183	12195
12198	12207
12222	12231
12234	12243
12261	12270
12300	12309
12354	12366
12393	12402
12411	12420
12435	12447
12537	12558
12627	12639
12726	12735
12765	12777
12780	12792
12798	12810
12861	12882
12888	12897
13041	13050
13146	13155
13233	13245
13263	13278
13329	13338
13398	13407
13494	13503
13533	13545
13611	13620
13758	13770
14031	14040
14127	14190
14193	14250
14253	14262
14307	14316
14352	14361
14394	14406
14517	14526
14628	14640
14697	14712
14715	14724
14748	14760
14763	14772
14778	14790
14826	14844
14895	14904
14919	14931
14952	14961
14964	14973
14982	14994
15027	15039
15099	15114
15120	15132
15135	15153
15171	15180
15276	15291
15339	15348
15369	15378
15390	15399
